Datum,WGS 84
WP,DMX,VI3593,26,54.797,70,54.813,01/05/2008,00:00:00,Джайсалмер. «Золотой город» от Maxim&Sveta
WP,DMX,VI3655,50,1.662,19,12.083,01/11/2008,00:00:00,"Труд делает свободным". Освенцим от Den-djan*
WP,DMX,VI3669,22,24.143,-79,58.861,02/29/2008,00:00:00,Viva Cuba или Памяти Че от ALLISA-76
WP,DMX,VI3672,21,51.673,-80,12.738,03/01/2008,00:00:00,Райский уголок от ALLISA-76
WP,DMX,VI3693,50,37.544,15,5.266,03/14/2008,00:00:00,Замок Cихров или Чешский рай северной Богемии от anyasan
WP,DMX,VI3694,50,35.901,15,9.356,03/15/2008,00:00:00,Грубы Рогозец от anyasan
WP,DMX,VI3705,35,19.286,69,1.596,03/25/2008,00:00:00,Cаланг от nputsyn
WP,DMX,VI3708,34,12.806,62,13.292,03/28/2008,00:00:00,Звезда над минаретом от nputsyn
WP,DMX,VI3709,34,27.883,69,7.171,03/28/2008,00:00:00,Операция "Шторм-333" от nputsyn
WP,DMX,VI3733,28,55.472,32,20.967,03/21/2008,00:00:00,Антоний Великий - основатель монашества от Dionisiy
WP,DMX,VI3734,28,50.836,32,33.045,03/21/2008,00:00:00,Павел Фивейский-первый монах отшельник от Dionisiy
WP,DMX,TR3801,36,13.720,29,26.964,04/04/2008,00:00:00,Пляж Гюзель Баян от Боцман
WP,DMX,VI3817,48,15.997,11,28.020,04/24/2008,00:00:00,Концентрационный лагерь Дахау от ЖЖ и Chuma
WP,DMX,TR3970,42,7.838,23,20.047,05/19/2008,00:00:00,Рильский монастырь от Йола
WP,DMX,VI3975,57,47.192,14,16.992,04/19/2008,00:00:00,Husqvarna Fabrikmuseum от Nata&Serg
WP,DMX,TR3986,50,53.364,14,16.924,05/18/2008,00:00:00,Чешская Швейцария от uralochka
WP,DMX,TR3992,47,27.367,10,59.537,01/07/2008,00:00:00,И вся Германия у наших ног (Цугшпитце) от Еврокешинг
WP,DMX,VI4004,64,2.968,-16,10.803,05/15/2006,00:00:00,Ледяная лагуна от Shrek
WP,DMX,VI4005,65,43.102,-16,45.039,05/17/2008,00:00:00,Почти Преисподняя от Shrek
WP,DMX,VI4009,49,15.200,4,1.975,01/05/2008,00:00:00,Шампанское для коронации от Еврокешинг
WP,DMX,VI4013,66,2.806,-17,20.653,05/19/2008,00:00:00,Хусавик - китовая столица Исландии от Shrek
WP,DMX,TR4016,42,39.096,25,50.297,05/20/2008,00:00:00,Другая Болгария от Йола
WP,DMX,VI4049,47,41.626,9,16.289,01/06/2008,00:00:00,Cкромное очарование средневековья (Meersburg) от Еврокешинг
WP,DMX,TR4076,60,34.721,25,35.853,06/09/2008,00:00:00,Чёртовы маслобойки Аскола от interbahus
WP,DMX,VI4113,60,8.856,24,59.166,06/08/2008,00:00:00,Cеверный Гибралтар от interbahus
WP,DMX,VI4114,60,11.281,24,52.864,06/09/2008,00:00:00,Деревянная сказка Cеурасаари от interbahus
WP,DMX,VI4118,36,12.383,27,51.867,06/18/2008,00:00:00,Восхождение к Зевсу (о-в Родос) от 4044415
WP,DMX,VI4125,60,23.822,25,39.449,06/09/2008,00:00:00,Порвоо от interbahus
WP,DMX,VI4126,60,27.298,26,56.970,06/09/2008,00:00:00,Роченсальмский маяк от interbahus
WP,DMX,VI4144,35,52.683,27,45.100,06/23/2008,00:00:00,Зелёный остров Прасониси (о-в Родос) от 4044415
WP,DMX,MS4167,61,29.465,28,26.273,06/23/2008,00:00:00,"Неустойчивое равновесие" от Дюдюка
WP,DMX,MS4168,61,30.655,28,54.555,06/23/2008,00:00:00,"Бурный поток" от Дюдюка
WP,DMX,MS4169,62,10.280,29,12.483,06/23/2008,00:00:00,Мельничный музей в Cавонранте от Дюдюка
WP,DMX,VI4175,62,33.704,28,47.646,06/23/2008,00:00:00,Новый Валаам от Дюдюка
WP,DMX,MS4192,47,40.690,8,36.895,06/14/2008,00:00:00,Rhine Waterfalls от hank
WP,DMX,VI4195,36,5.533,28,5.083,07/01/2008,00:00:00,Замок Линдос от 4044415
WP,DMX,TR4202,42,16.463,18,49.839,06/21/2008,00:00:00,Гуттен Могрен от IZIB
WP,DMX,MS4203,42,15.395,18,53.644,06/20/2008,00:00:00,Cвети-Cтефан от IZIB
WP,DMX,MS4204,42,27.155,18,32.302,06/25/2008,00:00:00,Герцег-Нови от IZIB
WP,DMX,VI4205,47,35.290,12,59.335,01/08/2008,00:00:00,Альпы над гладью Королевского озера (Königsee) от Еврокешинг
WP,DMX,MS4207,43,8.687,19,4.455,06/15/2008,00:00:00,Дурмитор от IZIB
